player_name,position,position_group,from_team,to_team,move_type,2024_grade,projected_2025_grade,grade_change,snap_percentage_2024,snap_tier,impact_score,impact_tier,importance_to_old_team,importance_to_new_team,contract_years,contract_value,aav,contract_tier,move_date,move_year
L'Jarius Sneed,CB1,Defense - Secondary,Ten,Ten,Re-signing,8.0,8.2,0.1999999999999993,95.0,Workhorse,1.44,High,9.0,9.5,1,19500000,19500000.0,Star,2025-06-02,2025
Khalil Mack,EDGE,Defense - Front,LAC,LAC,Extension,8.8,8.5,-0.3000000000000007,85.0,Workhorse,1.42,High,9.5,9.5,1,18000000,18000000.0,Star,2025-06-02,2025
A.J. Terrell,CB1,Defense - Secondary,Atl,Atl,Contract Extension,8.5,8.5,0.0,90.0,Workhorse,1.38,High,9.0,9.0,4,81000000,20250000.0,Star,2025-06-02,2025
Jaycee Horn,CB1,Defense - Secondary,Car,Car,Contract Extension,8.5,8.8,0.3000000000000007,85.0,Workhorse,1.37,High,9.0,9.5,4,100000000,25000000.0,Star,2025-06-02,2025
Alaric Jackson,LT,Offense - Line,LAR,LAR,Extension,8.0,8.2,0.1999999999999993,95.0,Workhorse,1.37,High,9.0,9.0,3,57750000,19250000.0,Star,2025-06-02,2025
Trevor Lawrence,QB,Offense - Skill,Jac,Jac,Re-signing,6.8,7.8,1.0,60.0,Starter,1.29,High,9.5,9.5,1,55000000,55000000.0,Superstar,2025-06-02,2025
Fred Warner,LB,Defense - Second,SF,SF,Extension,9.0,8.8,-0.1999999999999993,95.0,Workhorse,1.28,High,10.0,10.0,5,95000000,19000000.0,Star,2025-06-02,2025
Bobby Wagner,LB,Defense - Second,Was,Was,Re-signing,9.0,8.5,-0.5,94.0,Workhorse,1.27,High,10.0,10.0,1,9500000,9500000.0,Starter,2025-06-02,2025
Jake Matthews,LT,Offense - Line,Atl,Atl,Contract Extension,7.8,7.8,0.0,95.0,Workhorse,1.26,High,8.5,8.5,2,45000000,22500000.0,Star,2025-06-02,2025
Dan Moore Jr.,LT,Offense - Line,Pit,Ten,Free Agent Signing,7.0,7.5,0.5,95.0,Workhorse,1.26,High,7.5,9.5,4,82000000,20500000.0,Star,2025-06-02,2025
Charvarius Ward,CB1,Defense - Secondary,SF,Ind,Free Agent Signing,7.8,8.0,0.20000000000000018,90.0,Workhorse,1.26,High,8.0,9.0,3,60000000,20000000.0,Star,2025-06-02,2025
Josh Hines-Allen,EDGE,Defense - Front,Jac,Jac,Re-signing,8.0,8.2,0.1999999999999993,85.0,Workhorse,1.22,High,9.0,9.0,2,35000000,17500000.0,Star,2025-06-02,2025
Danielle Hunter,EDGE,Defense - Front,Hou,Hou,Extension,8.5,8.3,-0.1999999999999993,80.0,Workhorse,1.22,High,9.0,9.0,1,35600000,35600000.0,Superstar,2025-06-02,2025
Davante Adams,WR1,Offense - Skill,NYJ,LAR,Free Agent Signing,8.2,8.5,0.3000000000000007,85.0,Workhorse,1.21,High,7.5,9.5,2,46000000,23000000.0,Star,2025-06-02,2025
DK Metcalf,WR1,Offense - Skill,Sea,Pit,Trade,8.0,8.5,0.5,85.0,Workhorse,1.18,High,9.0,9.5,5,150000000,30000000.0,Star,2025-06-02,2025
Calvin Ridley,WR1,Offense - Skill,Ten,Ten,Re-signing,7.8,8.0,0.20000000000000018,90.0,Workhorse,1.16,High,8.5,9.0,3,69000000,23000000.0,Star,2025-06-02,2025
George Pickens,WR1,Offense - Skill,Pit,Dal,Trade,7.8,8.2,0.39999999999999947,85.0,Workhorse,1.09,High,7.5,9.0,1,8000000,8000000.0,Starter,2025-06-02,2025
Michael Pittman Jr.,WR1,Offense - Skill,Ind,Ind,Re-signing,7.8,8.0,0.20000000000000018,90.0,Workhorse,1.09,High,8.5,8.5,3,60000000,20000000.0,Star,2025-06-02,2025
Ernest Jones IV,LB,Defense - Second,Sea,Sea,Extension,8.5,8.8,0.3000000000000007,90.0,Workhorse,1.09,High,9.0,9.5,3,33000000,11000000.0,Starter,2025-06-02,2025
Jamien Sherwood,LB,Defense - Second,NYJ,NYJ,Extension,8.5,8.8,0.3000000000000007,95.0,Workhorse,1.09,High,9.0,9.0,3,45000000,15000000.0,Starter,2025-06-02,2025
DeShon Elliott,S,Defense - Secondary,Pit,Pit,Extension (Projected),8.0,7.8,-0.20000000000000018,95.0,Workhorse,1.08,High,8.5,8.5,2,18500000,9250000.0,Starter,2025-06-02,2025
Chase Young,EDGE,Defense - Front,NO,NO,Contract Extension,8.5,8.8,0.3000000000000007,70.0,Starter,1.07,High,8.5,9.0,3,51000000,17000000.0,Star,2025-06-02,2025
Jeremy Chinn,S,Defense - Secondary,Was,LV,Free Agent Signing,8.0,7.8,-0.20000000000000018,94.0,Workhorse,1.07,High,8.0,8.5,2,16000000,8000000.0,Starter,2025-06-02,2025
Khalil Shakir,WR1,Offense - Skill,Buf,Buf,Extension,8.0,8.2,0.1999999999999993,85.0,Workhorse,1.06,High,8.5,8.5,4,53000000,13250000.0,Starter,2025-06-02,2025
Justin Reid,S,Defense - Secondary,KC,NO,Free Agent Signing,8.2,8.0,-0.1999999999999993,85.0,Workhorse,1.05,High,8.0,9.0,3,31500000,10500000.0,Starter,2025-06-02,2025
Tre'von Moehrig,S,Defense - Secondary,LV,Car,Free Agent Signing,7.8,8.0,0.20000000000000018,85.0,Workhorse,1.05,High,8.0,9.5,3,51000000,17000000.0,Star,2025-06-02,2025
Chris Godwin,WR1,Offense - Skill,TB,TB,Contract Extension,8.5,8.5,0.0,70.0,Starter,1.04,High,9.5,9.5,3,66000000,22000000.0,Star,2025-06-02,2025
Nick Bolton,LB,Defense - Second,KC,KC,Extension,8.5,8.7,0.1999999999999993,90.0,Workhorse,1.03,High,9.0,9.0,3,45000000,15000000.0,Starter,2025-06-02,2025
Gardner Minshew,QB,Offense - Skill,LV,KC,Free Agent Signing,6.8,7.0,0.20000000000000018,65.0,Starter,1.03,High,7.5,7.0,1,1170000,1170000.0,Role Player,2025-06-02,2025
Carlton Davis III,CB1,Defense - Secondary,Det,NE,Free Agent Signing,7.5,7.8,0.2999999999999998,80.0,Workhorse,1.02,High,7.5,8.5,3,60000000,20000000.0,Star,2025-06-02,2025
Christian Benford,CB1,Defense - Secondary,Buf,Buf,Extension,7.5,7.8,0.2999999999999998,85.0,Workhorse,1.02,High,8.0,8.0,4,76000000,19000000.0,Star,2025-06-02,2025
Leonard Floyd,EDGE,Defense - Front,SF,Atl,Free Agent Signing,8.0,8.2,0.1999999999999993,70.0,Starter,1.01,High,7.5,9.0,1,10000000,10000000.0,Starter,2025-06-02,2025
Darius Slay,CB1,Defense - Secondary,Phi,Pit,Free Agent Signing,7.8,7.5,-0.2999999999999998,81.0,Workhorse,1.01,High,7.5,8.0,1,10000000,10000000.0,Starter,2025-06-02,2025
Cam Bynum,S,Defense - Secondary,Min,Ind,Free Agent Signing,7.5,7.8,0.2999999999999998,95.0,Workhorse,1.01,High,7.5,8.5,3,45000000,15000000.0,Starter,2025-06-02,2025
Trey McBride,TE,Offense - Skill,Ari,Ari,Contract Extension,9.2,9.0,-0.1999999999999993,85.0,Workhorse,0.99,Moderate,9.5,9.5,4,76000000,19000000.0,Star,2025-06-02,2025
Derrick Henry,RB,Offense - Skill,Bal,Bal,Extension,9.2,8.8,-0.3999999999999986,85.0,Workhorse,0.99,Moderate,9.5,9.5,2,30000000,15000000.0,Starter,2025-06-02,2025
Greg Rousseau,EDGE,Defense - Front,Buf,Buf,Extension,7.8,8.0,0.20000000000000018,75.0,Starter,0.99,Moderate,8.5,8.5,4,80000000,20000000.0,Star,2025-06-02,2025
Harold Landry,EDGE,Defense - Front,Ten,NE,Free Agent Signing,7.8,8.0,0.20000000000000018,75.0,Starter,0.99,Moderate,8.0,8.5,3,43500000,14500000.0,Starter,2025-06-02,2025
Mac Jones,QB,Offense - Skill,NE,SF,Free Agent Signing,6.0,7.0,1.0,70.0,Starter,0.98,Moderate,6.0,7.0,2,7000000,3500000.0,Role Player,2025-06-02,2025
Lloyd Cushenberry III,C,Offense - Line,Den,Ten,Free Agent Signing,7.2,7.5,0.2999999999999998,95.0,Workhorse,0.97,Moderate,7.0,8.5,2,18000000,9000000.0,Starter,2025-06-02,2025
Tyson Campbell,CB1,Defense - Secondary,Jac,Jac,Re-signing,7.5,7.8,0.2999999999999998,80.0,Workhorse,0.96,Moderate,7.5,8.0,1,16000000,16000000.0,Star,2025-06-02,2025
C.J. Gardner-Johnson,S,Defense - Secondary,Phi,Hou,Trade,8.0,7.8,-0.20000000000000018,85.0,Workhorse,0.96,Moderate,8.5,8.5,1,8000000,8000000.0,Starter,2025-06-02,2025
Josh Sweat,EDGE,Defense - Front,Phi,Ari,Free Agent Signing,8.5,8.8,0.3000000000000007,59.0,Starter,0.95,Moderate,9.0,9.5,4,76400000,19100000.0,Star,2025-06-02,2025
Terrel Bernard,LB,Defense - Second,Buf,Buf,Extension,8.2,8.5,0.3000000000000007,90.0,Workhorse,0.94,Moderate,8.5,8.5,4,50000000,12500000.0,Starter,2025-06-02,2025
Josh Jobe,CB1,Defense - Secondary,Sea,Sea,Re-signing,7.8,8.0,0.20000000000000018,75.0,Starter,0.94,Moderate,7.5,8.0,2,8000000,4000000.0,Role Player,2025-06-02,2025
Tyrann Mathieu,S,Defense - Secondary,NO,NO,Restructured Contract,7.8,7.5,-0.2999999999999998,80.0,Workhorse,0.94,Moderate,8.5,9.0,1,8000000,8000000.0,Starter,2025-06-02,2025
Justin Fields,QB,Offense - Skill,Pit,NYJ,Free Agent Signing,6.8,7.5,0.7000000000000002,45.0,Rotational,0.92,Moderate,6.5,9.0,2,40000000,20000000.0,Star,2025-06-02,2025
Tee Higgins,WR2,Offense - Skill,Cin,Cin,Extension,8.5,8.3,-0.1999999999999993,85.0,Workhorse,0.92,Moderate,9.5,9.5,4,115000000,28750000.0,Star,2025-06-02,2025
Ahkello Witherspoon,CB1,Defense - Secondary,LAR,LAR,Re-signing,7.5,7.3,-0.20000000000000018,80.0,Workhorse,0.9,Moderate,7.5,7.5,2,12000000,6000000.0,Starter,2025-06-02,2025
Darius Slayton,WR1,Offense - Skill,NYG,NYG,Extension,7.5,7.8,0.2999999999999998,80.0,Workhorse,0.88,Moderate,8.0,8.0,3,36000000,12000000.0,Starter,2025-06-02,2025
Deebo Samuel,WR1,Offense - Skill,SF,Was,Trade,7.0,7.8,0.7999999999999998,85.0,Workhorse,0.87,Moderate,7.5,8.0,1,17550000,17550000.0,Star,2025-06-02,2025
JC Latham,RT,Offense - Line,Ten,Ten,Re-signing,6.8,7.5,0.7000000000000002,90.0,Workhorse,0.87,Moderate,7.5,8.5,1,8500000,8500000.0,Starter,2025-06-02,2025
Kristian Fulton,CB1,Defense - Secondary,LAC,KC,Free Agent Signing,7.2,7.5,0.2999999999999998,75.0,Starter,0.86,Moderate,7.0,8.0,2,20000000,10000000.0,Starter,2025-06-02,2025
George Kittle,TE,Offense - Skill,SF,SF,Extension,8.5,8.3,-0.1999999999999993,80.0,Workhorse,0.86,Moderate,9.5,9.5,4,76000000,19000000.0,Star,2025-06-02,2025
Coleman Shelton,C,Offense - Line,Chi,LAR,Free Agent Signing,7.2,7.5,0.2999999999999998,90.0,Workhorse,0.86,Moderate,6.0,8.0,2,7000000,3500000.0,Role Player,2025-06-02,2025
Jevon Holland,S,Defense - Secondary,Mia,NYG,Free Agent Signing,6.8,7.5,0.7000000000000002,85.0,Workhorse,0.82,Moderate,7.5,8.5,3,45300000,15100000.0,Star,2025-06-02,2025
Bradley Bozeman,C,Offense - Line,LAC,LAC,Extension,7.2,7.0,-0.20000000000000018,90.0,Workhorse,0.81,Moderate,7.5,7.5,2,12000000,6000000.0,Starter,2025-06-02,2025
Paulson Adebo,CB1,Defense - Secondary,NO,NYG,Free Agent Signing,7.5,7.8,0.2999999999999998,60.0,Starter,0.81,Moderate,8.0,9.0,3,54000000,18000000.0,Star,2025-06-02,2025
DeForest Buckner,DT,Defense - Front,Ind,Ind,Re-signing,8.5,8.2,-0.3000000000000007,85.0,Workhorse,0.8,Moderate,9.5,9.5,2,46000000,23000000.0,Star,2025-06-02,2025
Markquese Bell,S,Defense - Secondary,Dal,Dal,Extension,7.5,7.8,0.2999999999999998,85.0,Workhorse,0.8,Moderate,7.5,7.5,3,12000000,4000000.0,Role Player,2025-06-02,2025
Robert Hainsey,C,Offense - Line,TB,Jac,Free Agent Signing,7.0,7.5,0.5,85.0,Workhorse,0.79,Moderate,7.0,8.0,3,21000000,7000000.0,Starter,2025-06-02,2025
Dante Fowler Jr.,EDGE,Defense - Front,Was,Dal,Re-signing,7.5,7.2,-0.2999999999999998,65.0,Starter,0.78,Moderate,7.0,8.0,1,6000000,6000000.0,Starter,2025-06-02,2025
Brandon Stephens,CB1,Defense - Secondary,Bal,NYJ,Free Agent Signing,6.0,6.8,0.7999999999999998,85.0,Workhorse,0.77,Moderate,6.5,7.5,3,36000000,12000000.0,Starter,2025-06-02,2025
Robert Spillane,LB,Defense - Second,Ten,NE,Free Agent Signing,7.5,7.8,0.2999999999999998,85.0,Workhorse,0.77,Moderate,8.0,8.0,3,37000000,12333333.333333334,Starter,2025-06-02,2025
Zach Ertz,TE,Offense - Skill,Was,Was,Re-signing,8.0,7.5,-0.5,78.0,Workhorse,0.75,Moderate,9.0,9.0,1,8000000,8000000.0,Starter,2025-06-02,2025
Damar Hamlin,S,Defense - Secondary,Buf,Buf,Re-signing,7.0,7.2,0.20000000000000018,80.0,Workhorse,0.75,Moderate,8.0,8.0,1,5000000,5000000.0,Role Player,2025-06-02,2025
Morgan Moses,RT,Offense - Line,NYJ,NE,Free Agent Signing,7.0,7.2,0.20000000000000018,80.0,Workhorse,0.75,Moderate,7.0,8.0,3,24000000,8000000.0,Starter,2025-06-02,2025
Patrick Mekari,G,Offense - Line,Bal,Jac,Free Agent Signing,7.5,8.0,0.5,100.0,Workhorse,0.74,Moderate,8.0,8.5,3,37500000,12500000.0,Starter,2025-06-02,2025
Cam Robinson,LT,Offense - Line,Jac,Hou,Free Agent Signing,5.8,6.2,0.40000000000000036,75.0,Starter,0.74,Moderate,6.0,8.5,1,14500000,14500000.0,Starter,2025-06-02,2025
Stefon Diggs,WR1,Offense - Skill,Hou,NE,Free Agent Signing,6.8,7.8,1.0,65.0,Starter,0.73,Moderate,7.0,9.0,3,69000000,23000000.0,Star,2025-06-02,2025
Joey Bosa,EDGE,Defense - Front,LAC,Buf,Free Agent Signing,7.0,7.5,0.5,60.0,Starter,0.71,Moderate,8.0,8.5,1,12600000,12600000.0,Starter,2025-06-02,2025
James Daniels,G,Offense - Line,Chi,Mia,Free Agent Signing,7.5,7.8,0.2999999999999998,90.0,Workhorse,0.71,Moderate,7.0,9.0,3,24000000,8000000.0,Starter,2025-06-02,2025
Will Levis,QB,Offense - Skill,Ten,Ten,Re-signing,5.8,6.0,0.20000000000000018,60.0,Starter,0.7,Moderate,6.5,6.0,1,4500000,4500000.0,Role Player,2025-06-02,2025
Elijah Molden,S,Defense - Secondary,LAC,LAC,Extension,7.5,7.8,0.2999999999999998,70.0,Starter,0.7,Moderate,8.0,8.0,3,18750000,6250000.0,Starter,2025-06-02,2025
Patrick Jones II,EDGE,Defense - Front,Min,Car,Free Agent Signing,7.5,7.8,0.2999999999999998,55.0,Starter,0.7,Moderate,7.0,8.5,2,20000000,10000000.0,Starter,2025-06-02,2025
Dalvin Tomlinson,DT,Defense - Front,Cle,Ari,Free Agent Signing,8.8,8.5,-0.3000000000000007,75.0,Starter,0.69,Moderate,8.5,9.0,2,29000000,14500000.0,Starter,2025-06-02,2025
D.J. Jones,DT,Defense - Front,Den,Den,Extension,8.2,8.0,-0.1999999999999993,80.0,Workhorse,0.69,Moderate,9.0,9.0,3,39000000,13000000.0,Starter,2025-06-02,2025
Kenneth Murray Jr.,LB,Defense - Second,Ten,Dal,Trade,7.2,7.5,0.2999999999999998,80.0,Workhorse,0.69,Moderate,7.0,8.0,1,15500000,15500000.0,Star,2025-06-02,2025
Cameron Dicker,K,Special Teams,LAC,LAC,Extension,9.0,9.0,0.0,100.0,Workhorse,0.68,Moderate,9.0,9.0,4,22040000,5510000.0,Starter,2025-06-02,2025
Kelvin Beachum,RT,Offense - Line,Ari,Ari,Re-signing,6.8,6.5,-0.2999999999999998,80.0,Workhorse,0.68,Moderate,7.0,7.5,2,5150000,2575000.0,Role Player,2025-06-02,2025
Cooper Kupp,WR1,Offense - Skill,LAR,Sea,Free Agent Signing,6.8,8.0,1.2000000000000002,60.0,Starter,0.67,Moderate,8.0,9.0,3,45000000,15000000.0,Starter,2025-06-02,2025
Josh Myers,C,Offense - Line,GB,NYJ,Free Agent Signing,6.8,7.2,0.40000000000000036,85.0,Workhorse,0.67,Moderate,7.0,7.0,1,3500000,3500000.0,Role Player,2025-06-02,2025
Jonathan Taylor,RB,Offense - Skill,Ind,Ind,Re-signing,8.0,7.8,-0.20000000000000018,70.0,Starter,0.67,Moderate,9.0,9.0,3,42000000,14000000.0,Starter,2025-06-02,2025
Tyrel Dodson,LB,Defense - Second,Mia,Mia,Re-signing,7.5,7.8,0.2999999999999998,75.0,Starter,0.67,Moderate,8.0,8.0,2,8250000,4125000.0,Role Player,2025-06-02,2025
Baron Browning,EDGE,Defense - Front,Ari,Ari,Contract Extension,7.5,7.8,0.2999999999999998,55.0,Starter,0.66,Moderate,7.0,8.0,2,16000000,8000000.0,Starter,2025-06-02,2025
Deebo Samuel,WR1,Offense - Skill,SF,Was,Trade,6.0,0.0,-6.0,75.0,Starter,0.66,Moderate,8.5,8.0,0,0,0.0,,2025-06-02,2025
Najee Harris,RB,Offense - Skill,Pit,LAC,Free Agent Signing,7.8,8.0,0.20000000000000018,75.0,Starter,0.66,Moderate,8.0,8.5,1,9250000,9250000.0,Starter,2025-06-02,2025
Jacoby Brissett,QB,Offense - Skill,NE,Ari,Free Agent Signing,7.0,7.0,0.0,35.0,Rotational,0.65,Moderate,6.0,8.0,2,12500000,6250000.0,Starter,2025-06-02,2025
Andy Dalton,QB,Offense - Skill,Car,Car,Re-signing,7.0,7.0,0.0,35.0,Rotational,0.65,Moderate,7.5,8.0,2,8000000,4000000.0,Role Player,2025-06-02,2025
Poona Ford,DT,Defense - Front,LAC,LAR,Free Agent Signing,8.8,8.5,-0.3000000000000007,70.0,Starter,0.65,Moderate,8.5,9.0,3,29600000,9866666.666666666,Starter,2025-06-02,2025
Garrett Bradbury,C,Offense - Line,Min,NE,Free Agent Signing,6.5,6.8,0.2999999999999998,85.0,Workhorse,0.64,Moderate,6.5,7.0,2,8000000,4000000.0,Role Player,2025-06-02,2025
Juwan Johnson,TE,Offense - Skill,NO,NO,Contract Extension,7.5,7.8,0.2999999999999998,75.0,Starter,0.64,Moderate,8.0,8.5,3,30000000,10000000.0,Starter,2025-06-02,2025
James Conner,RB,Offense - Skill,Ari,Ari,Contract Extension,8.0,7.8,-0.20000000000000018,70.0,Starter,0.63,Moderate,8.5,8.5,2,19000000,9500000.0,Starter,2025-06-02,2025
Chauncey Golston,EDGE,Defense - Front,Dal,NYG,Free Agent Signing,7.0,7.2,0.20000000000000018,60.0,Starter,0.63,Moderate,7.0,7.5,3,19500000,6500000.0,Starter,2025-06-02,2025
Greg Van Roten,G,Offense - Line,NYG,NYG,Re-signing,7.2,7.0,-0.20000000000000018,100.0,Workhorse,0.63,Moderate,7.5,7.5,1,2500000,2500000.0,Role Player,2025-06-02,2025
Todd Monken,OC,Coaching,Bal,Bal,Coaching Extension,9.5,9.0,-0.5,100.0,Workhorse,0.63,Moderate,10.0,10.0,3,15000000,5000000.0,Role Player,2025-06-02,2025
Mekhi Becton,G,Offense - Line,Phi,Den,Free Agent Signing,7.8,7.5,-0.2999999999999998,85.0,Workhorse,0.62,Moderate,7.0,8.0,2,14000000,7000000.0,Starter,2025-06-02,2025
Emmanuel Ogbah,EDGE,Defense - Front,Mia,Jac,Free Agent Signing,6.8,7.0,0.20000000000000018,65.0,Starter,0.62,Moderate,6.5,7.0,1,5000000,5000000.0,Role Player,2025-06-02,2025
Kirk Cousins,QB,Offense - Skill,Atl,Atl,Benched/Backup,5.5,6.0,0.5,85.0,Workhorse,0.62,Moderate,3.0,4.0,1,40000000,40000000.0,Superstar,2025-06-02,2025
Christian Elliss,LB,Defense - Second,NE,NE,Matched Offer Sheet,7.2,7.5,0.2999999999999998,75.0,Starter,0.61,Moderate,7.5,7.5,2,13500000,6750000.0,Starter,2025-06-02,2025
Haason Reddick,EDGE,Defense - Front,NYJ,TB,Free Agent Signing,5.5,7.5,2.0,65.0,Starter,0.61,Moderate,4.0,8.5,1,14000000,14000000.0,Starter,2025-06-02,2025
Jourdan Lewis,CB2,Defense - Secondary,Dal,Jac,Free Agent Signing,8.0,8.2,0.1999999999999993,75.0,Starter,0.6,Moderate,7.5,8.5,3,30000000,10000000.0,Starter,2025-06-02,2025
Anthony Walker Jr.,LB,Defense - Second,Mia,TB,Free Agent Signing,7.0,7.2,0.20000000000000018,75.0,Starter,0.59,Moderate,6.5,7.5,2,6000000,3000000.0,Role Player,2025-06-02,2025
Brandin Cooks,WR2,Offense - Skill,Dal,NO,Free Agent Signing,7.5,7.8,0.2999999999999998,70.0,Starter,0.59,Moderate,6.5,8.5,2,12000000,6000000.0,Starter,2025-06-02,2025
Tony Pollard,RB,Offense - Skill,Ten,Ten,Re-signing,7.0,7.2,0.20000000000000018,75.0,Starter,0.59,Moderate,8.0,8.5,2,16000000,8000000.0,Starter,2025-06-02,2025
Jauan Jennings,WR2,Offense - Skill,SF,SF,Extension,7.5,8.0,0.5,70.0,Starter,0.59,Moderate,8.0,8.5,3,21000000,7000000.0,Starter,2025-06-02,2025
Rico Dowdle,RB,Offense - Skill,Dal,Car,Free Agent Signing,8.0,7.8,-0.20000000000000018,65.0,Starter,0.59,Moderate,7.5,8.5,1,6250000,6250000.0,Starter,2025-06-02,2025
Christian Rozeboom,LB,Defense - Second,LAR,Car,Free Agent Signing,7.0,7.2,0.20000000000000018,70.0,Starter,0.59,Moderate,6.5,8.0,2,8000000,4000000.0,Role Player,2025-06-02,2025
Daniel Jones,QB,Offense - Skill,Min,Ind,Free Agent Signing,6.8,7.0,0.20000000000000018,30.0,Rotational,0.58,Moderate,6.0,8.5,1,14000000,14000000.0,Starter,2025-06-02,2025
Kareem Hunt,RB,Offense - Skill,KC,KC,Re-signing,7.8,7.5,-0.2999999999999998,70.0,Starter,0.58,Moderate,8.0,8.0,1,1500000,1500000.0,Role Player,2025-06-02,2025
Isaiah Pola-Mao,S,Defense - Secondary,LV,LV,Extension,7.0,7.2,0.20000000000000018,70.0,Starter,0.57,Moderate,7.0,7.0,2,8450000,4225000.0,Role Player,2025-06-02,2025
Andre Cisco,S,Defense - Secondary,Jac,NYJ,Free Agent Signing,6.5,7.0,0.5,70.0,Starter,0.57,Moderate,6.5,7.5,1,10000000,10000000.0,Starter,2025-06-02,2025
Evan Brown,G,Offense - Line,Ari,Ari,Re-signing,7.0,7.2,0.20000000000000018,85.0,Workhorse,0.56,Moderate,7.5,8.0,2,11400000,5700000.0,Starter,2025-06-02,2025
Andre James,C,Offense - Line,LV,LAC,Free Agent Signing,6.5,6.8,0.2999999999999998,80.0,Workhorse,0.56,Moderate,7.0,6.5,1,2500000,2500000.0,Role Player,2025-06-02,2025
Mike Gesicki,TE,Offense - Skill,Cin,Cin,Extension,7.5,7.3,-0.20000000000000018,75.0,Starter,0.56,Moderate,7.5,7.5,3,18000000,6000000.0,Starter,2025-06-02,2025
Eric Murray,S,Defense - Secondary,Hou,Jac,Free Agent Signing,6.5,6.8,0.2999999999999998,80.0,Workhorse,0.56,Moderate,7.0,6.5,2,8500000,4250000.0,Role Player,2025-06-02,2025
Osa Odighizuwa,DT,Defense - Front,Dal,Dal,Extension,8.0,8.2,0.1999999999999993,70.0,Starter,0.56,Moderate,8.5,8.5,4,80000000,20000000.0,Star,2025-06-02,2025
Tershawn Wharton,DT,Defense - Front,KC,Car,Free Agent Signing,8.0,8.2,0.1999999999999993,65.0,Starter,0.55,Moderate,7.5,9.0,3,54000000,18000000.0,Star,2025-06-02,2025
Alex Cappa,G,Offense - Line,Cin,LV,Free Agent Signing,7.2,7.0,-0.20000000000000018,85.0,Workhorse,0.54,Moderate,7.0,7.5,2,11000000,5500000.0,Starter,2025-06-02,2025
Jerome Baker,LB,Defense - Second,Mia,Cle,Free Agent Signing,6.8,7.0,0.20000000000000018,70.0,Starter,0.54,Moderate,7.0,7.5,1,1420000,1420000.0,Role Player,2025-06-02,2025
Christian Kirk,WR2,Offense - Skill,Jac,Hou,Trade,6.8,7.2,0.40000000000000036,75.0,Starter,0.54,Moderate,7.0,8.0,2,20000000,10000000.0,Starter,2025-06-02,2025
T.J. Watt,OLB,Other,Pit,Pit,Extension (Pending),9.5,9.3,-0.1999999999999993,85.0,Workhorse,0.54,Moderate,10.0,10.0,3,108000000,36000000.0,Superstar,2025-06-02,2025
